,Year,Total,Processed,Fresh
0,1971,0.5653444797049036,0.0,0.5653444797049036
1,1972,0.5707588520028967,0.0,0.5707588520028967
2,1973,0.5766626240508897,0.0,0.5766626240508897
3,1974,0.534009183835701,0.0,0.534009183835701
4,1975,0.5130270913493816,0.0,0.5130270913493816
5,1976,0.5173481321806132,0.0,0.5173481321806132
6,1977,0.4717602241201604,0.0,0.4717602241201604
7,1978,0.4793674326661725,0.0,0.4793674326661725
8,1979,0.4927684343827064,0.0,0.4927684343827064
9,1980,0.4514196885731097,0.0,0.4514196885731097
10,1981,0.4431089813276744,0.0,0.4431089813276744
11,1982,0.3772804796113494,0.0,0.3772804796113494
12,1983,0.3947812058538584,0.0,0.3947812058538584
13,1984,0.3871409954812395,0.0,0.3871409954812395
14,1985,0.3891540093765987,0.0,0.3891540093765987
15,1986,0.3660903133583488,0.0,0.3660903133583488
16,1987,0.3414276535806659,0.0,0.3414276535806659
17,1988,0.3575203758045229,0.0,0.3575203758045229
18,1989,0.3302253217003177,0.0,0.3302253217003177
19,1990,0.2623284671293557,0.0,0.2623284671293557
20,1991,0.2467519530716825,0.0,0.2467519530716825
21,1992,0.3200023272244583,0.0,0.3200023272244583
22,1993,0.3004978469577914,0.0,0.3004978469577914
23,1994,0.3288262980382332,0.0,0.3288262980382332
24,1995,0.3040803373012151,0.0,0.3040803373012151
25,1996,0.3191118204674654,0.0,0.3191118204674654
26,1997,0.2994323739520432,0.0,0.2994323739520432
27,1998,0.3042173547253861,0.0,0.3042173547253861
28,1999,0.2251025595517284,0.0,0.2251025595517284
29,2000,0.3446443941427483,0.0,0.3446443941427483
30,2001,0.3502084344554141,0.0,0.3502084344554141
31,2002,0.3097365995802263,0.0,0.3097365995802263
32,2003,0.3236611243379805,0.0,0.3236611243379805
33,2004,0.311734396326408,0.0,0.311734396326408
34,2005,0.2528249959815821,0.0,0.2528249959815821
35,2006,0.3125439489330662,0.0,0.3125439489330662
36,2007,0.2664227410250258,0.0,0.2664227410250258
37,2008,0.2142706069024121,0.0,0.2142706069024121
38,2009,0.1792230694115595,0.0,0.1792230694115595
39,2010,0.1777564345710656,0.0,0.1777564345710656
40,2011,0.2771477268829629,0.0,0.2771477268829629
41,2012,0.2574914512756933,0.0,0.2574914512756933
42,2013,0.1912408109005469,0.0,0.1912408109005469
43,2014,0.1728505075466683,0.0,0.1728505075466683
44,2015,0.0855048554478882,0.0,0.0855048554478882
45,2016,0.0382001997061374,0.0,0.0382001997061374
46,2017,0.189312037115775,0.0,0.189312037115775
47,2018,0.1733740896120973,0.0,0.1733740896120973
48,2019,0.1715940608445752,0.0,0.1715940608445752
