,Year,Total,Fresh,Processed,,,
3,1970,1.654009772755019,0.11899420634765817,1.5350155664073608,1.1391874486616185,0.06222811774574254,0.33359999999999995
4,1971,1.3817770964947544,0.1343535858923919,1.2474235106023626,0.9471562172733312,0.07786729332903146,0.2224
5,1972,1.2799291964994879,0.08289819720242407,1.1970309992970638,0.9227481620824431,0.05188283721462057,0.2224
6,1973,1.5230397419691393,0.09107683014879027,1.431962911820349,1.0667556672011964,0.08720724461915255,0.27799999999999997
7,1974,0.9154218010425733,0.06312718022576148,0.8522946208168118,0.6196553098850547,0.06583931093175718,0.16679999999999998
8,1975,1.3817584137960677,0.0805656262588379,1.3011927875372298,0.9488316405420034,0.07436114699522627,0.27799999999999997
9,1976,1.2850391583749836,0.09594789827321303,1.1890912601017707,0.7894009534996198,0.06609030660215104,0.33359999999999995
10,1977,1.2742986586612624,0.0890850394344326,1.1852136192268297,0.7721998914129548,0.07941372781387492,0.33359999999999995
11,1978,1.0854458784743617,0.07143338499898914,1.0140124934753725,0.7184718955015647,0.07314059797380777,0.2224
12,1979,1.1552854596293942,0.07900291039968008,1.0762825492297141,0.6815863727395229,0.061096176490191285,0.33359999999999995
13,1980,0.9967715800224886,0.10126204298147776,0.8955095370410108,0.655771005648021,0.07293853139298982,0.16679999999999998
14,1981,0.9126928959452799,0.09592722402442101,0.8167656719208589,0.48375754028400825,0.05500813163685067,0.27799999999999997
15,1982,1.1345064620847083,0.08054761658655918,1.053958845498149,0.54093826562322,0.06822057987492897,0.4448
16,1983,1.081427165234367,0.07816149325457626,1.0032656719797908,0.4263421366180644,0.07652353536172629,0.5004
17,1984,1.2325837399898445,0.12540700577115102,1.1071767342186936,0.5416185776021789,0.06515815661651464,0.5004
18,1985,0.960989221999871,0.1607964405827246,0.8001927814171464,0.5582038655968619,0.07518891582028468,0.16679999999999998
19,1986,0.9094543312389978,0.0955158050454808,0.8139385261935169,0.29691775835959977,0.07222076783391716,0.4448
20,1987,0.8863180116907026,0.07734792260424043,0.8089700890864622,0.44443938942747796,0.08653069965898422,0.27799999999999997
21,1988,1.0303757662444541,0.1602948808469478,0.8700808853975064,0.3610823065001874,0.064198578897319,0.4448
22,1989,1.2635403200637745,0.08994024468145319,1.1736000753823213,0.5442198973292611,0.07338017805306013,0.5559999999999999
23,1990,1.1330705532347844,0.1574208817744231,0.9756496714603613,0.5116891450183227,0.07476052644203861,0.3892
24,1991,0.9805014370251038,0.12716327472553482,0.853338162299569,0.33480355765171693,0.0616190585144363,0.45691554613341584
25,1992,1.1970897921220534,0.151097339758811,1.0459924523632425,0.4150438455570619,0.08127515629014301,0.5496734505160376
26,1993,1.06553063970846,0.12895813721158095,0.9365725024968792,0.365108235818653,0.06526329945630248,0.5062009672219238
27,1994,1.5785823571992137,0.14683642326789048,1.4317459339313232,0.5396414964592531,0.07215414749692527,0.819950289975145
28,1995,0.983362257406368,0.09972726283684163,0.8836349945695263,0.13910164182383136,0.0689901221877497,0.6755432305579452
29,1996,0.8437857518761112,0.08820137428754725,0.7555843775885639,0.14794214205180412,0.06269584339203536,0.5449463921447244
30,1997,1.1817728420041964,0.14485621738875534,1.036916624615441,0.34010273355607973,0.08159956322917276,0.6152143278301886
31,1998,1.1697876320185658,0.12300309653586365,1.0467845354827021,0.2921086591906407,0.08739365843941835,0.6672822178526431
32,1999,0.9746147162915363,0.1220700728620276,0.8525446434295086,0.23689203675038295,0.08294061834261265,0.532711988336513
33,2000,1.2550661160570906,0.1529966853763479,1.1020694306807428,0.22413010808752348,0.08834357349009334,0.7895957491031261
34,2001,1.1502524695982035,0.08201687097735949,1.068235598620844,0.21571521547241415,0.12327475704509716,0.7292456261033329
35,2002,0.8646942674370834,0.08825714952118571,0.7764371179158978,0.20937017320803983,0.08898740457717719,0.4780795401306807
36,2003,1.121887820319937,0.13003011687993526,0.9918577034400016,0.20007193506727544,0.04869478654250696,0.7430909818302192
37,2004,0.9391368258215835,0.1238963279158849,0.8152404979056986,0.20862003467044285,0.06727896720673839,0.5393414960285173
38,2005,1.1179468522585156,0.1316660664586768,0.9862807857998388,0.15313477275555992,0.062294316896907856,0.770851696147371
39,2006,0.9146792967247291,0.08254766433611575,0.8321316323886134,0.09733605041424276,0.030380003466603592,0.704415578507767
40,2007,1.0491926070292459,0.1550605649926057,0.8941320420366401,0.15731599058212206,0.04590684828766642,0.6909092031668516
41,2008,0.9254523973083753,0.13213672852406555,0.7933156687843097,0.142742319476265,0.06196789418016754,0.5886054551278772
42,2009,0.9170697705730403,0.13645475232280405,0.7806150182502363,0.1480956706385315,0.044084953768093085,0.5884343938436116
43,2010,0.864532580802491,0.12329613435217976,0.7412364464503112,0.12736837721815705,0.04240748628147815,0.5714605829506759
44,2011,0.856904371475604,0.124096205075659,0.7328081663999451,0.10999330275924464,0.04174972392082758,0.5810651397198728
45,2012,0.864857214468874,0.10267965602610056,0.7621775584427735,0.10930279496910443,0.03965672941952843,0.6132180340541405
46,2013,0.9096217933680165,0.10891937895677985,0.8007024144112367,0.09953423220236832,0.035097181469009836,0.6660710007398585
47,2014,0.7091218901838632,0.11813016471954164,0.5909917254643215,0.11568299229468064,0.0305351730039607,0.44477356016568015
48,2015,0.7322360207666343,0.08331483856287122,0.648921182203763,0.06573667471960494,0.028701271982440865,0.5544832355017172
49,2016,0.7350274800824734,0.1346136057236187,0.6004138743588547,0.09172670358482773,0.02156834352767885,0.4871188272463482
50,2017,0.7774451061755385,0.08877511527077159,0.688669990904767,0.05809954142792006,0.033971077350564496,0.5965993721262824
