,Year,Total,Fresh,Processed,,
3,1970,1.6292675200515268,0.4974347970270956,1.1318327230244312,0.45052749313152596,0.6813052298929052
4,1971,1.8692231988068295,0.6674339428202697,1.20178925598656,0.44723255058689426,0.7545567053996657
5,1972,1.493565953360305,0.37971185730075846,1.1138540960595464,0.41257822610490236,0.7012758699546441
6,1973,1.9162024105987605,0.7295584425390141,1.1866439680597463,0.27646365481207824,0.910180313247668
7,1974,1.537488662969761,0.5756263619104623,0.9618623010592988,0.41813620755625475,0.5437260935030441
8,1975,1.545257874612617,0.694531260852051,0.8507266137605661,0.3551924497678447,0.49553416399272143
9,1976,1.7967886443206325,0.8200518265416102,0.9767368177790222,0.23409458144081963,0.7426422363382026
10,1977,1.6048442615245253,0.6302244379969033,0.974619823527622,0.2835705543246196,0.6910492692030025
11,1978,1.4602552083879967,0.5319316216276928,0.9283235867603039,0.21507246920970532,0.7132511175505986
12,1979,1.4621397697903045,0.6753904601097508,0.7867493096805537,0.20636673653176787,0.5803825731487858
13,1980,1.5527083623783908,0.6859120170731493,0.8667963453052414,0.33084524617734196,0.5359510991278994
14,1981,1.3231532048148145,0.529208665628832,0.7939445391859825,0.24854217535828632,0.5454023638276962
15,1982,1.5266506690912833,0.5194066876841181,1.0072439814071652,0.32297950606821557,0.6842644753389495
16,1983,1.6409815132359773,0.7285313712351743,0.9124501420008031,0.21256494864337017,0.6998851933574329
17,1984,1.6991834442633909,0.7023541557364563,0.9968292885269345,0.34913182546399346,0.6476974630629411
18,1985,1.381174823776524,0.42312111579847855,0.9580537079780456,0.3050297968125124,0.6530239111655332
19,1986,1.4259924239161839,0.48867447049877205,0.9373179534174119,0.19426681296921103,0.7430511404482009
20,1987,2.139880629082748,0.7165450322070476,1.4233355968757002,0.3027321471796488,1.1206034496960513
21,1988,1.594289617896343,0.5177515396639472,1.076538078232396,0.2650198818329037,0.8115181963994923
22,1989,1.6076264097109658,0.5382385522879252,1.0693878574230407,0.24882766141912718,0.8205601960039135
23,1990,1.559981873469967,0.39106551740680917,1.168916356063158,0.27647956269005897,0.8924367933730989
24,1991,1.2826493965125274,0.39842520306280654,0.8842241934497209,0.2411807958016595,0.6430433976480614
25,1992,1.4579646689609747,0.5287278021285042,0.9292368668324704,0.31921390016139195,0.6100229666710785
26,1993,1.5379807504227263,0.4283068528942767,1.1096738975284495,0.3538501477445834,0.755823749783866
27,1994,1.611056880321044,0.5215688060857285,1.0894880742353155,0.3732774576149598,0.7162106166203557
28,1995,1.3329239803732933,0.2868293025399664,1.0460946778333269,0.3359488553638364,0.7101458224694904
29,1996,1.2973481412634862,0.40294915208035953,0.8943989891831268,0.24237352815155802,0.6520254610315688
30,1997,1.542205164390614,0.5970651453893436,0.9451400190012703,0.3298680632059955,0.6152719557952748
31,1998,1.663055360588236,0.5172999376108737,1.1457554229773625,0.29747398227330796,0.8482814407040545
32,1999,1.46415169142335,0.6252605545254973,0.8388911368978528,0.3178018299643237,0.5210893069335291
33,2000,1.4783508752045273,0.5956550215695154,0.8826958536350118,0.2884703265000719,0.5942255271349399
34,2001,1.6264344056494757,0.7741668683141815,0.8522675373352943,0.2860614988223651,0.5662060385129292
35,2002,1.2193239714697575,0.6979492950641493,0.5213746764056082,0.03553150029461383,0.4858431761109944
36,2003,1.7393596105027105,0.9183595871672,0.8210000233355104,0.22253303348296127,0.5984669898525491
37,2004,1.7859403398971518,0.9901843524217995,0.7957559874753525,0.15977054248674158,0.6359854449886109
38,2005,1.695959023771146,0.8680125850528821,0.8279464387182638,0.1930437784742774,0.6349026602439864
39,2006,1.9671336802966697,1.0646338457067084,0.9024998345899613,0.1473546441084555,0.7551451904815059
40,2007,2.1351629941273336,1.2170121530907163,0.9181508410366173,0.13458707673243192,0.7835637643041853
41,2008,2.1745602065003253,1.3108839634816085,0.8636762430187168,0.14346075155823557,0.7202154914604812
42,2009,2.534459923366021,1.5620785157254693,0.9723814076405515,0.16680020712809351,0.805581200512458
43,2010,2.148798885931321,1.3061967145812683,0.8426021713500527,0.08234466323890756,0.7602575081111451
44,2011,2.1368541408089796,1.30321151787069,0.8336426229382896,0.0964838051265984,0.7371588178116912
45,2012,2.2572985595044868,1.5037300827859512,0.7535684767185357,0.013656124154936522,0.7399123525635991
46,2013,1.559818161414053,0.9872449169772225,0.5725732444368304,0.07751830507220821,0.49505493936462225
47,2014,2.0631076965424917,1.1730265838908531,0.8900811126516387,0.048928183814045886,0.8411529288375929
48,2015,2.1354480983500186,1.1475605600240792,0.9878875383259393,0.07206728680108779,0.9158202515248516
49,2016,2.132043636754327,1.1694371368023728,0.9626064999519544,0.07354828232801493,0.8890582176239394
50,2017,2.33682996972389,1.470030763820708,0.8667992059031819,0.040427777339380674,0.8263714285638013
