,Year,Fresh,Processed1,Total
3,1970,28.57105050498598,82.18055423459103,110.751604739577
4,1971,28.986896923375948,84.54505093721295,113.5319478605889
5,1972,27.12288471636045,88.92919669259838,116.05208140895883
6,1973,27.133131503430516,88.68537949517884,115.81851099860936
7,1974,27.003124153670274,89.06299876581173,116.066122919482
8,1975,28.881437120698003,100.2834966073631,129.1649337280611
9,1976,28.43461950756201,102.4739752018978,130.9085947094598
10,1977,26.08841370709723,116.27695290142819,142.36536660852542
11,1978,26.152185590850376,101.49089027396703,127.6430758648174
12,1979,22.934059267568767,93.62077869713808,116.55483796470685
13,1980,25.89100914033822,98.01058423958747,123.90159337992569
14,1981,23.360965904554003,104.97019358228778,128.33115948684178
15,1982,23.38042521240295,94.86954127071185,118.2499664831148
16,1983,27.8740215326407,109.27950998910595,137.15353152174666
17,1984,22.494978252283172,91.67926600750485,114.17424425978803
18,1985,21.53341480881464,95.33325139011416,116.8666661989288
19,1986,24.310246691995786,95.79517184535615,120.10541853735194
20,1987,24.246561744616393,87.4020861086077,111.6486478532241
21,1988,25.38397340079542,76.2074127241692,101.59138612496463
22,1989,23.585598173840516,82.01221987366335,105.59781804750386
23,1990,21.739856735796224,82.48785664255388,104.2277133783501
24,1991,19.012028307362996,87.1725049521692,106.1845332595322
25,1992,24.232632935758826,74.76819422371037,99.0008271594692
26,1993,25.77678862795289,88.5663582353493,114.3431468633022
27,1994,24.70368026977178,91.89320561843111,116.59688588820289
28,1995,23.821773024707177,84.61670564313293,108.43847866784012
29,1996,24.55822287030563,92.97208324383669,117.53030611414232
30,1997,26.505240144031834,90.08497786520995,116.59021800924178
31,1998,26.562653970715342,105.11032756735544,131.6729815380708
32,1999,20.368378820853394,86.41988361467824,106.78826243553164
33,2000,23.433642350255862,94.47279593381832,117.90643828407418
34,2001,23.908715743549703,90.72777133911553,114.63648708266524
35,2002,23.361807692836894,84.48966138524843,107.85146907808532
36,2003,23.810857140945604,84.00802796154991,107.81888510249551
37,2004,22.683193329185332,84.14262610269343,106.82581943187876
38,2005,21.61771820774965,78.5210695496061,100.13878775735574
39,2006,21.632705410546265,71.6937572648757,93.32646267542196
40,2007,17.93037767185946,67.48451040070444,85.4148880725639
41,2008,20.603728708640922,62.116252754898284,82.7199814635392
42,2009,20.677836426362664,64.3808067007839,85.05864312714657
43,2010,21.574254119117686,60.802609549330434,82.37686366844812
44,2011,22.77709887799444,63.92134916111076,86.6984480391052
45,2012,23.512040269761936,52.659660177241705,76.17170044700364
46,2013,23.9485565730125,55.177007221334186,79.12556379434669
47,2014,23.26032975710147,52.669847343450336,75.9301771005518
48,2015,22.73357062231759,52.164196725289486,74.89776734760707
49,2016,24.048760510987115,52.57209675230544,76.62085726329255
50,2017,23.80662020788385,49.58873533534369,73.39535554322754
51,2018,23.952582469690633,49.069162182336285,73.02174465202691
52,2019,25.66680179363636,47.86847171428779,73.53527350792416
53,2020,26.72225889310089,46.69551130464872,73.4177701977496
