,Year,Total,Fresh,Processed
4,1971,1.39433499790524,1.39433499790524,
5,1972,1.4734868696878456,1.4734868696878456,
6,1973,1.5187556923018846,1.5187556923018846,
7,1974,1.585909078156125,1.585909078156125,
8,1975,1.6676667916822938,1.6676667916822938,
9,1976,1.7726236613387758,1.7726236613387758,
10,1977,1.9139979749272384,1.9139979749272384,
11,1978,1.9799941595345596,1.9799941595345596,
12,1979,2.155441780898003,2.155441780898003,
13,1980,2.307952978579521,2.307952978579521,
14,1981,2.3248560656792745,2.3248560656792745,
15,1982,2.4567936327458786,2.4567936327458786,
16,1983,2.556119108690735,2.556119108690735,
17,1984,2.624969113341344,2.624969113341344,
18,1985,2.6724220643613763,2.6724220643613763,
19,1986,2.775282047446302,2.775282047446302,
20,1987,2.8793512462727135,2.8793512462727135,
21,1988,3.0774864195313874,3.0774864195313874,
22,1989,3.4519138480322793,3.4519138480322793,
23,1990,3.5056748077854896,3.5056748077854896,
24,1991,3.6718586409052714,3.6718586409052714,
25,1992,3.8059270519513886,3.8059270519513886,
26,1993,3.7846050602024937,3.7846050602024937,
27,1994,3.929753138291654,3.929753138291654,
28,1995,3.7457672845620267,3.7457672845620267,
29,1996,3.6895980004969093,3.6895980004969093,
30,1997,3.8504536113399195,3.8504536113399195,
31,1998,4.160263211061816,4.160263211061816,
32,1999,4.097939576206758,4.097939576206758,
33,2000,4.4308291201586485,4.4308291201586485,
34,2001,4.196883071652915,4.196883071652915,
35,2002,4.607979718523833,4.607979718523833,
36,2003,4.285627503509615,4.285627503509615,
37,2004,4.259310344024924,4.259310344024924,
38,2005,4.416919851928558,4.416919851928558,
39,2006,4.576595730047401,4.576595730047401,
40,2007,4.125359903749196,4.125359903749196,
41,2008,4.14586131659609,4.14586131659609,
42,2009,4.39094328390356,4.39094328390356,
43,2010,4.314166027456353,4.314166027456353,
44,2011,4.394779633023805,4.394779633023805,
45,2012,4.645496271196148,4.645496271196148,
46,2013,4.436908285586048,4.436908285586048,
47,2014,4.597021499867423,4.597021499867423,
48,2015,4.643354081785635,4.643354081785635,
49,2016,5.73267914851998,5.73267914851998,
50,2017,5.686796816707535,5.686796816707535,
51,2018,5.646525211113389,5.646525211113389,
52,2019,5.76952660613154,5.76952660613154,
